EXP-014 PDH PDL ONH ONL Liquidity Level Reproducibility
Verdict: SUPPORTED
Deterministic rerun equality: True
Definitions: PDH/PDL = previous observed weekday NY-date high/low; ONH/ONL = 17:00 prior calendar date through 09:30 event date using CloseTimeNY bars.

Availability by instrument and segment:
- BTCUSD Test: 1.000 all-level availability (163/163), count_pass=True, segment_pass=True
- BTCUSD Train: 0.994 all-level availability (475/478), count_pass=True, segment_pass=True
- EURUSD Test: 0.989 all-level availability (183/185), count_pass=True, segment_pass=True
- EURUSD Train: 0.993 all-level availability (427/430), count_pass=True, segment_pass=True
- USTEC Test: 0.995 all-level availability (184/185), count_pass=True, segment_pass=True
- USTEC Train: 0.993 all-level availability (425/428), count_pass=True, segment_pass=True
- XAUUSD Test: 0.995 all-level availability (182/183), count_pass=True, segment_pass=True
- XAUUSD Train: 0.993 all-level availability (425/428), count_pass=True, segment_pass=True

Readiness by instrument:
- EURUSD: pass=True, train_test_rows_present=True, deterministic=True
- XAUUSD: pass=True, train_test_rows_present=True, deterministic=True
- BTCUSD: pass=True, train_test_rows_present=True, deterministic=True
- USTEC: pass=True, train_test_rows_present=True, deterministic=True
